,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
468904,1TEBkMwJZF8VlGhvLqxoJu,Sweet England,7,155867,0,['Shirley Collins'],['5rilpZJIb2NWJZVGtCdg6u'],1959,0.524,0.184,4,-11.32,1,0.0358,0.992,7.43e-06,0.138,0.344,142.047,3
299632,5b0FFCfNvdkB31eEDbbQN1,To Live Is to Die (Remastered),39,588382,0,['Metallica'],['2ye2Wgw4gimLv2eAKyk1NB'],1988-09-07,0.43200000000000005,0.624,11,-8.976,0,0.040999999999999995,0.000205,0.818,0.0777,0.38799999999999996,104.315,4
445923,2IfHTYpY2swqHutC7jFCQB,Ai Garimasu,22,255467,0,['Jefferson Starship'],['3HC7NcxQx2Yk0fWoRKJ0xF'],1975-06-23,0.375,0.517,4,-13.376,1,0.038,0.0195,0.0182,0.188,0.627,145.665,4
57971,0FCgqHNdcbhGIEmU8r6ZF1,Got a Hold on Me,47,232907,0,['Christine McVie'],['6RCsx4p5smZHYz2P5HLcL2'],1984,0.75,0.787,4,-5.127000000000001,1,0.0292,0.14400000000000002,1.88e-05,0.0513,0.718,129.37,4
269784,7zwVqniJdAiaGdYLay7zSp,完全是你,8,297285,0,['Sally Yeh'],['7Bx0SBZoIX73eywmBcdqFb'],1986-11-26,0.642,0.449,10,-10.05,1,0.0296,0.659,0.0,0.131,0.259,106.876,3
471156,0WWSJNzZ3GUXNMHkWj0Kno,Lies,69,196189,0,"['MK', 'Raphaella']","['1yqxFtPHKcGcv6SXZNdyT9', '3rJPS8fYBokXpYw1mS9wr0']",2021-01-29,0.525,0.8370000000000001,0,-4.012,0,0.0596,0.0198,4.78e-06,0.135,0.47700000000000004,123.954,4
156402,3FB9L9B4YYuMcXIoF41Cpw,Let Them Talk,37,227554,0,['Mr. Vegas'],['1pmixngtBJleMrGUG5o8DE'],2010-04-13,0.861,0.807,0,-3.823,1,0.0636,0.12300000000000001,0.0,0.0986,0.843,101.98899999999999,4
245267,3yRwgprKX3If2zcuGfKFBu,Only Teardrops,55,183240,0,['Emmelie de Forest'],['3wQcURnqzPGHE0gzY5nE6G'],2013-05-02,0.561,0.8440000000000001,0,-4.58,1,0.063,0.0945,0.0,0.22,0.446,110.96799999999999,4
416976,3NN9B3xfzyX8D3jy0yFGVa,"Violin Concerto No. 2 in D Minor, Op. 22: I. Allegro moderato",2,683853,0,"['Henryk Wieniawski', 'Igor Oistrakh', 'Gewandhausorchester Leipzig', 'Franz Konwitschny']","['7wEcQTGkugQxXzikls4izh', '26uMjSyTAF4BU3PKhrzJtd', '0SlNRZ8zBLAgyB1lsoYxAa', '6elpmIDuaxq3RDYe3DmxtS']",1958,0.212,0.203,10,-15.193,1,0.0451,0.977,0.547,0.11,0.0907,93.62100000000001,4
579336,4gq0OVb1HdbXqGHuWB2zVq,På tredje sidan - Insp. 1979,14,155627,0,['Eddie Meduza'],['3cMEiDsx9VpGvF71hUGswS'],1985-05-06,0.358,0.5670000000000001,2,-10.957,1,0.12300000000000001,0.201,0.0,0.0632,0.892,190.196,4
222178,7mk8Hm9I3NAKShBGCGEcoS,אור וירושלים,22,204067,0,['Haparvarim'],['2LOJIQPpWqcbbCFKb1FFHT'],1978-01-01,0.337,0.212,3,-16.325,0,0.048,0.917,0.0,0.136,0.542,204.84799999999998,4
440038,3WrQZJy6BagmTtVA1SeLKL,Mama Nature Said,30,294400,0,['Thin Lizzy'],['6biWAmrHyiMkX49LkycGqQ'],1973-09-21,0.46799999999999997,0.752,9,-12.970999999999998,1,0.0865,0.00243,0.00101,0.0868,0.7020000000000001,134.26,4
34978,4cbW9vx4Cjj7XFWiDLlAkh,"Samson et Dalila, Op. 47: Bacchanale",24,432267,0,"['Camille Saint-Saëns', 'Philadelphia Orchestra', 'Eugene Ormandy']","['436sYg6CZhNefQJogaXeK0', '6tdexW8bZTG8NgOFUCYQn1', '3naY4Tq98GRh9K8xOsINyv']",1961,0.255,0.276,2,-16.134,0,0.0385,0.809,0.547,0.268,0.19,133.996,4
339799,5SEEWejq8XRp9s6kU4fAjA,Som en stut,19,210467,0,['Terje Tysland'],['3DiSZJGP4rtIXmqpRlFca7'],1987-01-01,0.784,0.752,5,-10.216000000000001,1,0.0632,0.0572,2.15e-06,0.272,0.961,118.963,4
362649,0QKb8M8asXcrxEwW7ohPfg,"Symphony No. 3 in F Major, Op. 90: III. Poco Allegretto",15,391520,0,"['Johannes Brahms', 'Zubin Mehta', 'New York Philharmonic']","['5wTAi7QkpP6kp8a54lmTOq', '3FEd0qHPFOgcpfw7bCXB4x', '3gacryguGmpmCvgPGt2CBI']",1979,0.114,0.0296,0,-28.165,0,0.0426,0.987,0.863,0.0907,0.0397,152.834,3
139143,7vGnmo005xwYNjb57ONn5n,My Sugar,18,147840,0,['Frankie Valli & The Four Seasons'],['6mcrZQmgzFGRWf7C0SObou'],1963-02-01,0.684,0.522,7,-10.725999999999999,1,0.0479,0.276,0.0,0.0857,0.809,128.622,3
66812,5ZG1JwCKyUWBRizunThX1i,All Through The Day,53,180200,0,['Frank Sinatra'],['1Mxqyy3pSjf8kZZL4QVxS0'],1993,0.264,0.24600000000000002,5,-10.940999999999999,1,0.0312,0.8809999999999999,0.00317,0.259,0.19,89.41799999999999,4
475173,7rcobNnAGN1nN2BelAiqNS,Rock And A Hard Place,49,252667,0,['The Rolling Stones'],['22bE4uQ6baNwSHPVcDxLCe'],2011-01-01,0.6779999999999999,0.904,9,-6.406000000000001,0,0.0398,0.0128,0.000103,0.04,0.9159999999999999,129.108,4
350733,47CpjcrE3sHZ4y8eJivRMa,Los Valientes,39,209507,0,['McEnroe'],['6t17pv2Q9w9ybTC0Ty5Sq2'],2009-03-03,0.46799999999999997,0.512,3,-10.828,0,0.0261,0.0699,0.738,0.11199999999999999,0.28,132.99,4
102791,5vGDhIsbipF2GcL25GTTWd,Never Never,36,226027,0,['The Assembly'],['3SZrTMcVtCUyiuX3svX0rV'],1983-10-31,0.638,0.579,5,-6.816,1,0.0291,0.5589999999999999,0.0,0.23199999999999998,0.547,179.63,4
530919,6JNluWWlzWmrW1LKR5X2SN,Pallo Latke,50,296829,0,"['Jyotica Tangri', 'Yasser Desai', 'Fazilpuria']","['5wQDQFm7Ku8WWGi5xqJ9lp', '6RF8hEdlUKoLPQOHmBbHiM', '4oaJL0V5asQDh4sqplTVhX']",2017-10-24,0.759,0.903,4,-6.132000000000001,0,0.0725,0.0605,6.29e-06,0.23199999999999998,0.628,110.00399999999999,4
511300,0Bc1DPClExUdqg54hZ4xLw,Man Murakh Kyon Diwana Hai,0,161516,0,['Saroj Borkar'],['3yuMaPW5k6252r3EIkHoX0'],1938-01-01,0.505,0.341,11,-9.673,0,0.0488,0.8079999999999999,0.0,0.18100000000000002,0.624,106.64,4
104786,4RQKVMlBFHyDsSI0u1ODDt,Competition,25,268200,0,['New Edition'],['1mFX1QlezK1lNPKQJkhwWb'],1988-01-01,0.698,0.298,2,-14.372,1,0.0304,0.534,5.29e-06,0.695,0.435,142.965,4
299621,5SQrgVDqBqteFFVZWJBT2y,C'est beaucoup mieux comme ça,28,251827,0,['Ginette Reno'],['6ApzBusQnGyfdiQ63CBLon'],1988-02-25,0.461,0.586,0,-9.765,1,0.027999999999999997,0.332,2.18e-06,0.109,0.506,142.629,4
430571,4cLy3BmJJ4no5GpFeEWsTn,Amor Nas Estrelas,22,200200,0,['Nara Leão'],['64KVQ4YupSZYrGNLduVtj3'],1981-10-01,0.563,0.53,10,-10.503,1,0.044000000000000004,0.625,0.172,0.0991,0.672,124.116,4
129748,67w1cb9ESAnCGJkC9hW2nO,I Won't See You Tonight Part 1,55,538333,0,['Avenged Sevenfold'],['0nmQIMXWTXfhgOBdNzhGOs'],2003-08-26,0.4,0.7190000000000001,7,-5.109,0,0.0492,0.00045099999999999996,0.00581,0.218,0.10099999999999999,129.505,4
102765,6dkMihhL3iPhjtNYb3kdP1,Born To Love,20,269400,0,"['Peabo Bryson', 'Roberta Flack']","['49iKbKGqgn8OESkW5WduX0', '0W498bDDNlJIrYMKXdpLHA']",1983-07-22,0.6609999999999999,0.369,2,-13.713,1,0.0645,0.557,7.63e-06,0.11800000000000001,0.44,136.744,4
308130,5ZqrAyHvzhg5RcYPjWgT5B,Vi ønsker jer alle en glædelig jul,15,215080,0,"['Tommy Seebach', 'Annette Heick']","['4j8KP6LIyjhpM282XUhjoz', '700HoSXaapppjzh4jpY5KN']",1989,0.645,0.835,0,-8.102,1,0.0275,0.0533,1.33e-06,0.0601,0.828,107.954,4
218759,5Jp8AQM4D8Poyxf7GsyC9W,Amor de Locos,43,220693,0,"['Peter Manjarrés', 'Mono Zabaleta', 'Dani Maestre']","['5p1D7KgsRRcS9gpQyRARrL', '2Q6L4B0awar0BWcQOWsAvu', '2gGBkVsuTHdS0aajCee1KW']",2019-05-17,0.6609999999999999,0.9590000000000001,0,-3.3739999999999997,1,0.126,0.191,0.0,0.19399999999999998,0.889,108.667,4
318828,0O1nFi9N8kaUajCIL15pBp,Hús ræningjanna,5,210001,0,['Leikhópurinn Kardemommubærinn'],['2aaGKdk7T6qQCK2SB67siJ'],1994-01-01,0.711,0.22899999999999998,1,-17.507,0,0.956,0.882,0.0,0.313,0.653,108.74700000000001,3
215676,6lTyCiohetMO0PvdJ1hji0,留住我吧!,39,287173,0,"['Tai Chi', 'David Ling Jr', 'Philip Kwok']","['4xyi7Ld8qxkIpRlh4dAnpu', '5ElXLkDzZPQA9fBzBjA9TJ', '2mcDzZCBsk51cT521GARmd']",1992-10-16,0.583,0.38299999999999995,4,-12.56,1,0.027999999999999997,0.0868,3.43e-06,0.0645,0.192,129.961,4
437537,4eWHMq1DmBtj0XLv3rFySv,Minha Vontade,53,189997,0,['Fred & Gustavo'],['23e9hgUNNlZWv6E0nxf8fA'],2015-11-18,0.609,0.574,0,-5.0169999999999995,1,0.032,0.743,0.0,0.6890000000000001,0.419,89.99600000000001,4
334252,1oZXEwR3alWc4qX4nAAVjZ,ไม่บริสุทธิ์ใจ,25,242040,0,['เดอะ เวิร์ม'],['3fBA4popQjTK7gvnsZ5xu1'],2009-07-20,0.635,0.708,4,-6.0729999999999995,1,0.0338,0.337,0.0,0.16699999999999998,0.691,128.096,4
158080,6akWGCJRwUyjjZTYVm0hde,Meneo Sucio,37,178207,0,['Dubosky'],['6tMb6Fah1HWzlaHE9ylNGJ'],2018-08-14,0.851,0.8029999999999999,2,-3.975,1,0.128,0.0198,0.00439,0.304,0.753,93.965,4
117030,7pSwpJRass0wxmhxf5uMhQ,The Only One,0,174093,0,['The Revolution'],['7y4wIG2U2P7lRBt8yW6pu2'],2008-02-18,0.645,0.19899999999999998,1,-24.941999999999997,1,0.0406,0.21899999999999997,0.0022199999999999998,0.0955,0.732,122.333,4
361946,2CfK0v1VqLLNSYgPVzRebR,Ah Dede Vah Dede,13,184375,0,['Engin Evin'],['6szp5zYe80ZrJmAXBoAjPC'],1975,0.7709999999999999,0.843,0,-5.234,1,0.0555,0.45399999999999996,0.0,0.14400000000000002,0.9640000000000001,123.93,4
544897,1NF1tlUDVyTpeUXkxbLluV,Hall Maailm,8,221062,0,['Terminaator'],['1e69U0tUjsnT5qhuXkIMqH'],2000-09-01,0.664,0.86,4,-5.075,0,0.0491,0.133,0.0,0.195,0.8009999999999999,129.773,4
40430,0kXKFTtDpUjSNsbpixifKv,Watermelon Man - Remastered,36,318613,0,['Gloria Lynne'],['2XThtYxaIaPS5o9soX7kAu'],1966,0.6409999999999999,0.441,10,-15.607000000000001,1,0.0536,0.892,0.0189,0.919,0.77,116.795,4
131211,1Fx9aiORwv0cx5mFEBasHo,All About Tonight,59,186173,0,['Pixie Lott'],['3EBRANWwnViQuBrImN61Z1'],2011-01-01,0.637,0.804,2,-6.141,1,0.0448,0.207,0.0,0.115,0.732,129.261,3
204766,0GPwlp9ran98Q2g0o7jKFS,Landfall,29,196400,0,['Jimmy Buffett'],['28AyklUmMECPwdfo8NEsV0'],1977-01-01,0.7120000000000001,0.851,7,-10.008,1,0.0305,0.0631,0.00466,0.158,0.978,128.347,4
100735,0HRaZyX9m7CMnaGqQ2NCwz,In the Country,29,164267,0,"['Cliff Richard', 'The Shadows']","['2nvKpWcP8etYTq4JrRiUiy', '03hfAxVdAWj7kxDnSG0fLD']",1977,0.436,0.583,2,-12.196,1,0.0433,0.608,0.0,0.28800000000000003,0.934,158.16899999999998,4
319055,4ti7i9I2plbvEE43nC7YXN,Kvöldljóð,4,214274,0,"['Sigurður Þórarinsson', 'MA Kvartettinn']","['5dDy4i0BCQjTv6Fqsf90Un', '4634u66F2ZmNfE5lXxAYVl']",1995-01-01,0.138,0.21100000000000002,10,-16.717,1,0.0384,0.9940000000000001,0.579,0.12300000000000001,0.207,69.774,5
7659,3N4D5t5X6AJZ1vdbszwoC0,Go Santa Oh / Go Daddy oh (medley),0,251991,0,['Cocktail de Nervios'],['6OpudeoBfcvBoV0UjfdGCE'],1932,0.47700000000000004,0.37,5,-18.507,0,0.214,0.38299999999999995,0.5870000000000001,0.0687,0.722,198.769,4
528175,3JpKgsDNMM0vVQpemBJYZC,Ram Bhakt Le Chala Re Ram Ki Nishaani,31,245688,0,['Ravindra Jain'],['0y633xrd3L3rSxpZ4awgnG'],2007-01-01,0.519,0.35100000000000003,6,-15.314,0,0.0428,0.736,0.0,0.0715,0.6659999999999999,116.919,3
409707,3niQUG32wxuHG3lZ3EKzle,天竺鼠坐太空梭,16,224548,0,"['李淑雲', '許鈺珮', '蔡榮吉']","['2dRSIy5loojBpVlxWk2eRq', '1u4z77GA1U2uqM2qcGEQ1D', '4ZSjPS92VlMAl76LII4QGU']",1988,0.496,0.22699999999999998,8,-17.86,1,0.17800000000000002,0.6,0.00031600000000000004,0.371,0.589,177.25599999999997,4
495867,1cr3OjdRBZXTuKogHpUXBb,Unterm Tannenbaum (O Tannenbaum / O du fröhliche),30,187160,0,['Rolf Zuckowski'],['2qn4hIXsvRUyFoboMi31XB'],1987-01-01,0.287,0.16,0,-11.183,1,0.0289,0.778,0.0,0.0762,0.262,86.111,3
396538,42U273VfvI41QVmpyujXfH,Phra - Outro,31,228387,0,"['Club Dogo', 'Vincenzo']","['4dyfAiJCbl7jS1GHOCdiJv', '7FR8ZynvReyPlYfi4LnKyI']",2004,0.644,0.866,4,-4.752,0,0.33,0.305,0.0,0.213,0.419,91.971,4
81376,7qfZl66gaF3KRCS5KkxS66,Basta 'Na Jurnata E Sole - Remastered 2008,10,214453,0,['Pino Daniele'],['2eFv7NVs8R6Go7msuqikeg'],2008-01-01,0.648,0.8240000000000001,9,-3.3760000000000003,0,0.0416,0.695,0.0,0.161,0.768,130.02,4
332108,1z9o9o2KHsvVbuVrrPeYxw,Gas Panic!,42,368267,0,['Oasis'],['2DaxqgrOhkeH0fpeiQq2f4'],2000-02-28,0.369,0.6809999999999999,5,-6.006,0,0.042,0.0123,0.00389,0.35600000000000004,0.233,147.795,4
280791,1pdnjP5ELYSFsYZEINZfhx,When the Saints Go Marching In,3,190733,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1959-01-01,0.462,0.726,7,-13.550999999999998,1,0.511,0.449,2.35e-05,0.956,0.682,127.60600000000001,4
355187,4IDzpcT05iOx6QDRuBNrX7,Магарешката кожа-част 4,2,327601,0,"['Павел Сираков', 'Иван Янчев', 'Коста Карагеоргиев']","['2Sy5CdYyHO08nPiNCTAfC6', '0WkeQ8wG4yk1LzlEou4zqC', '2V6DM6b6G3sOxqJAMrr4cI']",1988-02-17,0.579,0.125,7,-20.025,1,0.8759999999999999,0.9129999999999999,0.0,0.20199999999999999,0.29100000000000004,80.515,3
431249,6GoBUG1DSsbDkXYWY1BjW0,Soweto,24,369267,0,['Djavan'],['5rrmaoBXZ7Jcs4Qb77j0YA'],1987-03-25,0.659,0.664,5,-9.51,0,0.0402,0.628,2.87e-06,0.0999,0.64,121.185,4
10688,57ltHEwWMgxdjHGF89laP5,"Von der Renaissance bis heute, Kapitel 32",14,324587,0,"['Ernst H. Gombrich', 'Christoph Waltz']","['0j3oxxc3zSd4BWoLokFKr9', '17fHhGX3nSz4SHs37kzWUF']",1936,0.7190000000000001,0.368,3,-17.455,0,0.924,0.188,0.0,0.221,0.698,124.939,3
